Артикул;Наименование;Остаток;Цена;МРЦ;Бренд;Серия;
AB9211B;Акриловая ванна Abber (AB9211B);Нет в наличии;67682;94754;Abber;;
AB9212-1.7;Акриловая ванна Abber (AB9212);Нет в наличии;63990;89627;Abber;;
AB9216-1.5;Акриловая ванна Abber (AB9216-1.5);Нет в наличии;58939;82555;Abber;;
AB9216-1.7;Акриловая ванна Abber (AB9216-1.7);Нет в наличии;63954;89556;Abber;;
AB9216-1.7B;Акриловая ванна Abber (AB9216-1.7B);Нет в наличии;68971;96559;Abber;;
AB9216-1.7DB;Акриловая ванна Abber (AB9216-1.7DB);более 5;68971;96559;Abber;;
AB9216-1.7R;Акриловая ванна Abber (AB9216-1.7R);5;68971;96559;Abber;;
AB9219;Акриловая ванна Abber (AB9219);5;62758;87883;Abber;;
AB9220;Акриловая ванна Abber (AB9220);Нет в наличии;59067;82653;Abber;;
AB9222-1.5;Акриловая ванна Abber (AB9222-1.5);Нет в наличии;60192;84227;Abber;;
AB9224-1.5;Акриловая ванна Abber (AB9224-1.5);Нет в наличии;57837;81012;Abber;;
AB9224-1.6;Акриловая ванна Abber (AB9224-1.6);5;61015;85422;Abber;;
AB9233;Акриловая ванна Abber (AB9233);Нет в наличии;69701;97604;Abber;;
AB9233B;Акриловая ванна Abber (AB9233B);Нет в наличии;75762;106068;Abber;;
AB9233DB;Акриловая ванна Abber (AB9233DB);5;75762;106068;Abber;;
AB9233G;Акриловая ванна Abber (AB9233G);Нет в наличии;75762;106068;Abber;;
AB9233R;Акриловая ванна Abber (AB9233R);Нет в наличии;75762;106068;Abber;;
AB9234;Акриловая ванна Abber (AB9234);Нет в наличии;76285;106695;Abber;;
AB9236;Акриловая ванна Abber (AB9236);Нет в наличии;63477;88908;Abber;;
AB9237;Акриловая ванна Abber (AB9237);Нет в наличии;69701;97604;Abber;;
AB9238;Акриловая ванна Abber (AB9238);5;78038;109212;Abber;;
AB9239;Акриловая ванна Abber (AB9239);Нет в наличии;88953;124513;Abber;;
AB9241;Акриловая ванна Abber (AB9241);Нет в наличии;62700;87780;Abber;;
AB9243;Акриловая ванна Abber (AB9243);Нет в наличии;64064;89690;Abber;;
AB9244;Акриловая ванна Abber (AB9244);Нет в наличии;62178;87050;Abber;;
AB9245;Акриловая ванна Abber (AB9245);Нет в наличии;69000;96600;Abber;;
AB9248;Акриловая ванна Abber (AB9248);Нет в наличии;68971;96559;Abber;;
AB9249;Акриловая ванна Abber (AB9249);Нет в наличии;66671;93424;Abber;;
AB9250;Акриловая ванна Abber (AB9250);5;84333;118066;Abber;;
AB9257-1.7 L;Акриловая ванна Abber (AB9257-1.7 L);Нет в наличии;63954;89556;Abber;;
AB9257-1.7 R;Акриловая ванна Abber (AB9257-1.7 R);Нет в наличии;63954;89556;Abber;;
