Артикул,Название товара,Остаток,Цена продажи,Закупочная цена,Бренд,Серия
TORSB01i01,Смеситель для раковины IDDIS Torr (TORSB01i01),10,9990.0,7143.0,IDDIS,Torr
JE2SBL0i10,Смеситель для ванны IDDIS Jeals (JE2SBL0i10),10,8491.0,7143.0,IDDIS,Jeals
K01SBP0i05,Смеситель для кухонной мойки IDDIS Kitchen (K01SBP0i05),0,7270.0,5595.0,IDDIS,Kitchen
VANSB00i02WA,Смеситель для ванны IDDIS Vane (VANSB00i02WA),10,8847.0,5913.0,IDDIS,Vane
VIBSB02i02WA,Смеситель для ванны IDDIS Vibe (VIBSB02i02WA),10,8990.0,6428.0,IDDIS,Vibe
SENSB00i67,Смеситель для ванны с душем IDDIS Sena (SENSB00i67),10,7840.0,5606.0,IDDIS,Sena
BOUSB02i02WA,Смеситель для ванны IDDIS Bounce (BOUSB02i02WA),10,7990.0,5713.0,IDDIS,Bounce
BOUSBL2i10WA,Смеситель для ванны IDDIS Bounce (BOUSBL2i10WA),10,8990.0,6428.0,IDDIS,Bounce
CALSB00i01,Смеситель для раковины IDDIS Calipso (CALSB00i01),10,8990.0,6428.0,IDDIS,Calipso
CALSBL0i05,Смеситель для кухонной мойки IDDIS Calipso (CALSBL0i05),10,9520.0,6869.0,IDDIS,Calipso
CD56101C,Смеситель для кухонной мойки IDDIS Sicily (CD56101C),10,7776.0,5577.0,IDDIS,Sicily
CG53654C,Смеситель для раковины IDDIS Хирургический (CG53654C),10,7790.0,5570.0,IDDIS,Хирургический
CLOSB00i01,Смеситель для раковины IDDIS Cloud (CLOSB00i01),10,7790.0,5570.0,IDDIS,Cloud
CLOSB00i05,Смеситель для кухонной мойки IDDIS Cloud (CLOSB00i05),0,9890.0,7071.0,IDDIS,Cloud
COPSB02i02WA,Смеситель для ванны IDDIS Copter (COPSB02i02WA),10,8990.0,6428.0,IDDIS,Copter
CUBSBL2i10WA,Смеситель для ванны IDDIS Cuba (CUBSBL2i10WA),10,8490.0,6070.0,IDDIS,Cuba
ED3PBSGi05,Смеситель для кухонной мойки IDDIS Edifice (ED3PBSGi05),0,7492.0,7143.0,IDDIS,Edifice
ED5WBSGi05,Смеситель для кухонной мойки IDDIS Edifice (ED5WBSGi05),0,7492.0,7143.0,IDDIS,Edifice
EDISB00i02WA,Смеситель для ванны IDDIS Edifice (EDISB00i02WA),0,9990.0,7143.0,IDDIS,Edifice
ZODSBL2i10WA,Смеситель для ванны IDDIS Zodiac (ZODSBL2i10WA),10,7010.0,5028.0,IDDIS,Zodiac
K36SBJBi05,Смеситель для кухонной мойки IDDIS Kitchen 360 (K36SBJBi05),10,8990.0,6449.0,IDDIS,Kitchen 360
LOFBRL0i05,Смеситель для кухонной мойки IDDIS Loft (LOFBRL0i05),10,9671.0,8644.0,IDDIS,Loft
THESB02i74WA,Смеситель для душа IDDIS Thermolife (THESB02i74WA),0,8400.0,6458.0,IDDIS,Thermolife
CLOWG00i05,Смеситель для кухонной мойки IDDIS Cloud (CLOWG00i05),0,8045.0,5820.0,IDDIS,Cloud
CLOWG00i01,Смеситель для раковины IDDIS Cloud (CLOWG00i01),0,9190.0,6571.0,IDDIS,Cloud
SLIBG00i01,Смеситель для раковины IDDIS Slide (SLIBG00I01),0,9190.0,6571.0,IDDIS,Slide
CU1BNJ0i05,Смеситель для кухонной мойки IDDIS Cuba (CU1BNJ0i05),10,7344.0,6178.0,IDDIS,Cuba
K11SB0Ji05,Смеситель для кухонной мойки IDDIS Kitchen Line (K11SB0Ji05),10,7490.0,5355.0,IDDIS,Kitchen Line
RAYSB02i02WA,Смеситель для ванны IDDIS Ray с керамическим дивертором (RAYSB02i02WA),10,8590.0,6142.0,IDDIS,Ray
RAYSBL2i10WA,Смеситель для ванны IDDIS Ray с длинным изливом и керамическим дивертором (RAYSBL2i10WA),10,7470.0,5368.0,IDDIS,Ray
PST0000i70,Набор для ванны IDDIS Prima Set (PST0000i70),0,7920.0,6094.0,IDDIS,Prima Set
CU2LBJ0i05,Смеситель для кухни IDDIS Cuba состаренная латунь (CU2LBJ0i05),0,9190.0,6571.0,IDDIS,Cuba
CU3MBJ0i05,Смеситель для кухни IDDIS Cuba состаренная медь (CU3MBJ0i05),10,9190.0,6571.0,IDDIS,Cuba
CU4SBJ0i05,Смеситель для кухни IDDIS Cuba состаренное серебро (CU4SBJ0i05),10,9190.0,6571.0,IDDIS,Cuba
ZODSBL2i10,Смеситель для ванны IDDIS Zodiac с длинным изливом с керамическим дивертором (ZODSBL2i10),0,8790.0,6285.0,IDDIS,Zodiac
ZODSB02i02,Смеситель для ванны IDDIS Zodiac с керамическим дивертором (ZODSB02i02),10,8490.0,6070.0,IDDIS,Zodiac
OLDYG00i01,Смеситель для умывальника IDDIS Oldie желтое золото (OLDYG00i01),0,7590.0,5427.0,IDDIS,Oldie
OXFSBJ0i05,Смеситель для кухни IDDIS Oxford (OXFSBJ0i05),0,7812.0,5613.0,IDDIS,Oxford
OXFSB01i01,Смеситель для настольного умывальника IDDIS Oxford (OXFSB01i01),10,9300.0,6682.0,IDDIS,Oxford
OXFSB00i01,Смеситель для умывальника IDDIS Oxford (OXFSB00i01),10,7640.0,5491.0,IDDIS,Oxford
SLIBL00i01,Смеситель для умывальника IDDIS Slide черный (SLIBL00i01),10,7992.0,7143.0,IDDIS,Slide
003BLR0i08,Встраиваемый смеситель IDDIS с гигиеническим душем матовый черный (003BLR0i08),10,8990.0,6428.0,IDDIS,
004BLS0i08,Встраиваемый смеситель IDDIS Axes с гигиеническим душем матовый черный (004BLS0i08),0,9990.0,7143.0,IDDIS,Axes
BRDSB01i01,Смеситель для настольного умывальника IDDIS Bridge (BRDSB01i01),0,8490.0,6070.0,IDDIS,Bridge
BRDSB00i05,Смеситель для кухни IDDIS Bridge (BRDSB00i05),0,9790.0,7000.0,IDDIS,Bridge
BRDSB02i10WA,Смеситель для ванны IDDIS Bridge с длинным изливом (BRDSB02i10WA),10,7990.0,5713.0,IDDIS,Bridge
BRDSB00i02WA,Смеситель для ванны IDDIS Bridge (BRDSB00i02WA),0,8790.0,6285.0,IDDIS,Bridge
